user, item, rating
1983,686,5.0
1790,686,3.0
2270,686,3.5
1406,686,4.5
1284,686,3.0
241,686,5.0
984,686,5.0
4796,686,4.0
3395,686,5.0
984,686,5.0
6442,2752,4.5
5204,2752,3.0
4252,2752,3.0
4333,2752,3.5
4684,2752,3.0
6058,2752,4.5
1214,2752,4.0
1762,2752,4.0
4242,2752,4.5
1431,2752,3.5
2613,3028,2.5
243,3028,3.0
6209,3028,3.5
2109,3028,4.0
1530,3028,3.5
2190,3028,3.5
3724,3028,3.5
4383,3028,2.5
1932,3028,2.5
5732,3028,4.5
2854,737,4.0
1517,737,3.0
2190,737,4.0
4856,3929,2.5
2347,3929,4.0
1833,3929,3.0
4995,3929,2.5
2407,3929,4.5
3074,247,4.0
3033,247,3.0
4183,247,3.0
2374,247,2.5
6389,247,3.5
3614,247,4.0
2521,247,2.0
6307,247,4.0
2405,247,3.0
2770,247,3.0
4252,1507,4.5
3281,1507,5.0
361,1507,4.0
1006,1507,5.0
1838,1507,5.0
1838,1507,3.0
3724,1507,5.0
1623,1507,5.0
2754,1507,4.0
200,1507,5.0
1284,592,3.0
442,592,4.0
6209,592,2.5
335,592,4.0
4446,592,3.5
3816,592,4.5
906,592,2.5
1519,592,3.0
6430,592,4.0
5041,592,4.0
4266,3813,3.5
3395,3813,4.0
4491,3813,2.5
4797,3813,4.0
5204,3813,2.0
5715,3813,3.0
5466,3813,3.5
241,3813,4.0
394,3813,3.5
1571,3813,3.5
5204,411,4.5
1932,411,3.5
481,411,3.5
3789,411,2.5
6442,411,4.0
2219,411,4.5
282,411,3.0
6065,411,4.5
4515,411,2.5
3990,411,3.5
545,1644,3.0
984,1644,3.0
3360,1644,3.5
984,1644,3.0
1640,1644,5.0
533,3757,3.0
4848,3757,3.5
3297,3757,5.0
1592,3757,4.5
2849,3757,3.0
806,3757,3.0
727,3757,5.0
3872,3757,4.0
712,3757,4.0
4626,3757,4.5
4817,4328,3.5
243,4328,3.0
241,4328,4.0
3990,4328,4.0
603,4328,4.5
6430,4328,3.0
361,4328,3.0
574,4328,3.0
2060,4328,4.0
1689,4328,4.5
4817,4328,3.5
243,4328,4.5
241,4328,2.5
3990,4328,3.5
603,4328,4.0
6430,4328,4.5
361,4328,2.5
574,4328,2.5
2060,4328,4.0
1689,4328,2.5
4840,151,3.0
3395,151,5.0
5518,151,4.5
1048,151,5.0
4446,151,3.5
2659,151,3.0
1335,151,4.5
2770,151,4.0
1433,151,3.5
2583,151,4.5
1762,3148,4.0
750,3148,4.0
1416,3148,2.0
241,3148,4.0
3451,3148,2.5
1762,3148,2.5
1435,3148,2.0
4201,3148,2.0
1928,3148,3.5
2560,3148,2.0
3068,1557,4.0
3167,1557,3.5
6104,1557,3.5
6065,1557,3.5
2770,1557,3.5
1214,1557,4.0
5915,3869,2.0
371,3869,3.0
1571,3869,4.0
638,3869,4.0
4242,3869,3.5
335,3869,2.0
4085,3869,2.5
4505,3869,2.5
241,3869,2.0
1143,3869,3.5
